;;;;;;;
;;;;;;;
;;;;;;;
Код;Наименование товара;;"Страна-
производитель";"Цена за ед.
изм.";"Код 
валюты";Фасовка;"Ед. 
изм."
;;;;;;;
;Мясо;;;;;;
;Говядина премиальная;;;;;;
;Мраморная говядина зернового откорма свежемороженая;;;;;;
;Толстый край зачищенный Cube Roll зернового откорма свежемороженный;;;;;;
УТ-00013406;ГОВЯДИНА толстый край Lip On Cube Roll (с 9 ребер), Grain fed с/м, Rioplatense, Аргентина;;Аргентина;2 290;РУБ;кор (17 кг)  кор (9 кг);кг
;Тонкий край зернового откорма свежемороженный;;;;;;
УТ-00000763;Говядина тонкий край Striploin Grain fed с/м, Rioplatense, Аргентина;;Аргентина;1 734;РУБ;кор (8 кг);кг
;Полуфабрикаты из мраморной говядины;;;;;;
УТ-00015843;ГОВЯДИНА котлета для бургера с/м, Мираторг, Россия;;Россия;536;РУБ;кор (13.5 кг);кг
;Говядина эконом;;;;;;
;Говядина эконом свежемороженная;;;;;;
;Вырезка;;;;;;
УТ-00020643;Говядина вырезка зачищенная Tenderloin 3/4 LBS с/м, Friboi, Бразилия;;Бразилия;1 411;РУБ;кор (27 кг);кг
УТ-00020642;Говядина вырезка зачищенная Tenderloin 4/5 LBS с/м, Friboi, Бразилия;;Бразилия;1 399;РУБ;кор (27 кг);кг
УТ-00020339;Говядина вырезка зачищенная Tenderloin 4/5 LBS с/м, Minerva, Бразилия;;Бразилия;1 403;РУБ;кор (27 кг);кг
УТ-00020644;Говядина вырезка зачищенная Tenderloin 5+ LBS с/м, Friboi, Бразилия;;Бразилия;1 395;РУБ;кор (23 кг);кг
УТ-00020341;Говядина вырезка зачищенная Tenderloin 5+ LBS с/м, Minerva, Бразилия;;Бразилия;1 399;РУБ;кор (21 кг);кг
СИ-00002659;ГОВЯДИНА вырезка с/м, Вахавяк, Беларусь;;Беларусь;1 152;РУБ;кор (18 кг);кг
УТ-00004488;Говядина вырезка с/м, Тимашевскмясопродукт, Россия;;Россия;1 250;РУБ;кор (18 кг);кг
УТ-00014706;Говядина пояснично-подвздошный отруб (вырезка) с/м, Вахавяк, Беларусь;;Беларусь;1 595;РУБ;кор (17.3 кг);кг
;Говядина в отрубах;;;;;;
СИ-00002533;Говядина оковалок ( распил ) б/к с/м, МПК Северная Звезда, Россия;;Россия;530;РУБ;кор (20 кг);кг
СИ-00002550;Говядина Подбедерок (распил) б/к с/м, МПК Северная Звезда, Россия;;Россия;536;РУБ;кор (20 кг);кг
;Толстый, тонкий край;;;;;;
СИ-00001646;"Говядина филейный край ""ФБ"" в/у с/м, Мираторг, Россия";;Россия;704;РУБ;кор (21 кг);кг
;Тазобедренная часть;;;;;;
СИ-00002378;Говядина внутренняя часть бедра ( огузок ) б/к Black Angus в/у с/м, Мираторг, Россия;;Россия;770;РУБ;кор (30 кг);кг
УТ-00003441;Говядина глазной мускул б/к с/м, ТМП21, Тимашевскмясопродукт, Россия;;Россия;543;РУБ;кор (19 кг);кг
УТ-00002437;Говядина огузок б/к с/м, Concepcion, Парагвай;;Парагвай;708;РУБ;кор (32 кг);кг
УТ-00020793;Говядина огузок б/к с/м, Minerva, Колумбия;;Колумбия;732;РУБ;кор (20 кг);кг
СИ-00001916;ГОВЯДИНА оковалок б/к 3 кг с/м, Мясная Династия, Россия;;Россия;558;РУБ;кор (21 кг);кг
СИ-00002565;ГОВЯДИНА оковалок б/к с/м (724), Россия;;Россия;644;РУБ;кор (20 кг);кг
УТ-00000447;Говядина оковалок б/к с/м, Friboi, Бразилия;;Бразилия;786;РУБ;кор (20 кг);кг
СИ-00002120;ГОВЯДИНА оковалок б/к с/м, Восход, Россия;;Россия;556;РУБ;кор (20 кг);кг
СИ-00000523;ГОВЯДИНА оковалок б/к с/м, Мясная Династия, Россия;;Россия;558;РУБ;кор (23,070 кг)  кор (25 кг)  кор (6 170 кг);кг
;Передняя часть;;;;;;
УТ-00019066;Говядина лопатка б/к с/м, Frigon, Бразилия;;Бразилия;585;РУБ;кор (27 кг);кг
УТ-00005134;Говядина лопатка б/к с/м, Frigorifico, Боливия;;Боливия;584;РУБ;кор (23 кг);кг
УТ-00017661;Говядина лопатка б/к с/м, Вахавяк Плюс, Республика Беларусь;;Республика Беларусь;534;РУБ;кор (19.5 кг);кг
СИ-00002564;Говядина лопатка б/к с/м, Восход, Россия;;Россия;513;РУБ;кор (20 кг);кг
СИ-00000524;ГОВЯДИНА лопатка б/к с/м, Мясная Династия, Россия;;Россия;511;РУБ;кор (27 кг)  кор (27 090 кг);кг
;Субпродукты из говядины;;;;;;
СИ-00000194;Говядина жир с/м, Тимашевскмясопродукт, Россия;;Россия;147;РУБ;кор (20 кг);кг
УТ-00003873;Говядина печень с/м, Offal, Аргентина;;Аргентина;243;РУБ;кор (12 кг);кг
УТ-00003089;Говядина сердце монолит с/м, Offal, Аргентина;;Аргентина;251;РУБ;кор (13 кг);кг
УТ-00005787;Говядина трубчатые кости с/м, Тимашевскмясопродукт, Россия;;Россия;71;РУБ;кор (15 кг)  кор (17 кг)  кор (20 кг);кг
СИ-00001257;Говядина щековина Black Angus с/м, 1010025481, Мираторг, Россия;;Россия;1 247;РУБ;кор (4 кг);кг
УТ-00012895;Говядина щековина с/м, Offal, Аргентина;;Аргентина;427;РУБ;кор (20 кг);кг
УТ-00017762;Говядина язык с/м, BFC, Боливия;;Боливия;657;РУБ;кор (10 кг);кг
УТ-00000916;Говядина язык с/м, Offal, Аргентина;;Аргентина;659;РУБ;кор (12 кг)  кор (20 кг)  кор (24 кг);кг
;Тримминг;;;;;;
СИ-00002635;Говядина тримминг с/м, Восход, Россия;;Россия;381;РУБ;кор (22 кг);кг
;Свинина;;;;;;
;Свинина свежемороженная;;;;;;
УТ-00015564;Свинина вырезка б/к в/у с/м, Мираторг, Россия;;Россия;390;РУБ;кор (28.8 кг);кг
СИ-00002614;Свинина грудинка н/к н/ш в/у с/м, Мираторг, Россия;;;267;РУБ;кор (31 кг);кг
СИ-00000613;Свинина карбонад б/к в/у с/м, Мираторг, Россия;;Россия;439;РУБ;кор (23 кг);кг
СИ-00002612;Свинина карбонад б/к в/у с/м, Мясторг, Россия, Россия;;Россия;333;РУБ;кор (22 кг);кг
УТ-00014240;Свинина карбонад с/м, Россия;;Россия;358;РУБ;кор (16 кг);кг
СИ-00000968;Свинина корейка н/к в/у с/м, Мираторг, Россия;;Россия;362;РУБ;кор (20 кг);кг
СИ-00000453;Свинина лопатка б/к с/м, Мираторг, Россия;;Россия;380;РУБ;кор (25 кг);кг
СИ-00000612;Свинина окорок б/к с/м, Мираторг, Россия;;Россия;375;РУБ;кор (26 кг);кг
УТ-00015462;"Свинина ребра ""Классические"" в/у с/м, 1010010274, Мираторг, Россия";;Россия;323;РУБ;кор (4.95 кг)  кор (6.03 кг);кг
СП-00000523;Свинина ребра Деликатесные с/м кг, Тамбовский бекон, Россия;;Россия;391;РУБ;кор (16 кг);кг
СИ-00001683;Свинина рулька н/к в/у с/м, Мираторг, Россия;;Россия;193;РУБ;кор (4 кг);кг
СИ-00002147;Свинина шейка б/к в/у с/м, Меркадор, Россия;;Россия;559;РУБ;кор (20 кг);кг
СП-00001236;Свинина шейка б/к с/м кг, Слово Мясника, Россия;;Россия;577;РУБ;кор (18 кг);кг
УТ-00008242;Свинина шейка б/к с/м, Мираторг, Россия;;Россия;559;РУБ;кор (26 180 кг)  кор (27 кг);кг
;Баранина;;;;;;
;Баранина свежемороженная;;;;;;
;Тазобедренная часть свежемороженная;;;;;;
УТ-00001812;Баранина окорок б/к Халяль в/у с/м, МИР ВАМ!, Россия;;Россия;1 079;РУБ;кор (12 кг);кг
;Корейка свежемороженнная;;;;;;
УТ-00020690;Баранина корейка на кости 4 ребра Халяль в/у с/м, 2890, BAZARCo, Россия;;Россия;1 720;РУБ;кор (3 кг)  кор (4 кг);кг
УТ-00019024;Баранина корейка на кости 4 ребра Халяль в/у с/м, МИР ВАМ!, Россия;;Россия;1 354;РУБ;кор (17 кг);кг
УТ-00006316;Баранина корейка на кости 8 ребер Халяль в/у с/м, МИР ВАМ!, Россия;;Россия;1 921;РУБ;кор (15 кг);кг
;Нога свежемороженная;;;;;;
УТ-00020691;Баранина голяшка н/к Халяль в/у с/м, 2878, BAZARCo, Россия;;Россия;547;РУБ;кор (6 кг);кг
;Лопатка свежемороженная;;;;;;
СИ-00000099;Баранина лопатка б/к с/м, Агролайн М, Россия;;Россия;869;РУБ;кор (12 кг);кг
УТ-00020697;Баранина лопатка б/к Халяль в/у с/м, 3288, BAZARCo, Россия;;Россия;1 082;РУБ;кор (7 кг);кг
УТ-00003063;Баранина лопатка б/к Халяль в/у с/м, МИР ВАМ!, Россия;;Россия;955;РУБ;кор (13 кг);кг
;Субпродукты свежемороженные;;;;;;
УТ-00020698;Баранина окорок б/к Халяль в/у с/м, 3289, BAZARCo, Россия;;Россия;1 012;РУБ;кор (7 кг);кг
;Готовые мясные изделия;;;;;;
