"Сыр ""Моцарелла"" FATUCCI  125 гр.*2 (250гр)";шт;185,00;;
"Сыр ""Моцарелла"" FATUCCI  125 гр. (ведро, 2 кг)";шт;1480,00;;
"Сыр ""Моцарелла"" FATUCCI 20 гр.*10 (200гр)";шт;180,00;;
"Сыр ""Страчателла ""FATUCCI"" 250гр.";шт;285,00;;
Сыр Буррата FATUCCI 125гр;шт;145,00;;
Сыр Буррата FATUCCI 200гр;шт;240,00;;
Сыр Буррата FATUCCI 80гр;шт;95,00;;
Моцарелла твердая для пиццы (брус 2 кг);кг;580,00;;
;;;;
Молодые Сыры;;;;
"Сыр ""Тревизо"" (типа Таледжио)";кг;1 850,00;;
Сыр Скаморца;кг;1 300,00;;
Сыр Халуми;кг;1 350,00;;
"Сыр ""Качотта с черным трюфелем экстра""";кг;1 950,00;;
"Сыр ""Качотта"" бьянка";кг;1 450,00;;
"Сыр ""Качотта"" с пеперончино экстра";кг;1 550,00;;
"Сыр ""Качотта"" с пажитником";кг;1 550,00;;
"Сыр ""Качотта"" с перцем экстра";кг;1 550,00;;
"Сыр ""Качотта"" с черным трюфелем Точка молочка";кг;1 050,00;;
"Сыр ""Качотта"" с вялеными томатами Точка молочка";кг;1 050,00;;
;;;;
Сыры с белой плесенью;;;;
Сыр Бри;кг;2 060,00;;
Сыр Камамбер;кг;2 060,00;;
;;;;
Сыры с голубой плесенью;;;;
"Сыр ""МонтеБлун""  (типа горгонзола)";кг;1 850,00;;
Сыр Горгонзола с черным трюфелем;кг;2 150,00;;
Сыр Блю-Крема 200гр;кг;400,00;;
;;;;
Полутвердые сыры;;;;
"Сыр ""Азоло"" (типо Азиаго)";кг;1 530,00;;
Сыр козий полутвердый;кг;2 450,00;;
"Сыр ""Мантова"" выдержка 12 мес.";кг;2 250,00;;
"Сыр ""Раклет""";кг;2 050,00;;
"Сыр полутвердый ""Маасдам Gold""";кг;1 350,00;;
;;;;
Твердые сыры;;;;
"Сыр ""Грюйер Патрис Норман""";кг;2 150,00;;
"Сыр Пармезан ""Гранд Кремлино"", 12 мес";кг;2 100,00;;
"Сыр твердый овечий ""Стелла Альпина""";кг;2 500,00;;
Сыр твердый Грана Гротта 6 мес;кг;1 530,00;;
Сыр твердый Грана Гротта 9 мес;кг;1 780,00;;
Сыр Пармезан твердый 6мес. Schonfeld;кг;1 950,00;;
Вареные Колбасы;;;;
Прошутто Котто (вареная ветчина);кг;1 670,00;;
