Мясо;;;;
Говядина Вагю Япония;;;;
Говядина внутренняя часть бедра (Top round) Ushichan Wagyu кат А5 в/у с/м (Япония);11 000 ₽;;;
Говядина пашина (Short plate) Ushichan Wagyu кат А5 в/у с/м (Япония);11 000 ₽;;;
Говядина подлопаточная часть (Chuck Tender) Ushichan Wagyu кат А5 в/у с/м (Япония);22 000 ₽;;;
Говядина ребра передние б/к (Chuck Ribs) Ushichan Wagyu кат А5 в/у с/м (Япония);18 000 ₽;;;
Говядина толстый край (Ribeye) Ushichan Wagyu категория А5 в/у с/м (Япония);27 000 ₽;;;
Говядина тонкий край (Striploin) Ushichan Wagyu категория А5 в/у с/м (Япония);27 000 ₽;;;
Говядина Вагю (стейки) Япония;;;;
Говядина стейк пашины (Short plate) Ushichan Wagyu кат А5 в/у с/м (Япония);22 000 ₽;;;
Говядина стейк подлопаточной части (Chuck Tender) Ushichan Wagyu кат А5 в/у с/м (Япония);22 000 ₽;;;
Говядина стейк ребра б/к (Short Ribs) Ushichan Wagyu кат А5 в/у с/м (Япония);20 000 ₽;;;
Говядина стейк тонкой диафрагмы Ushichan Wagyu кат А5 в/у с/м (Япония);20 000 ₽;;;
Говядина Вагю (премиальные отруба) Япония;;;;
Говядина вырезка (Tenderloin) Ushichan Wagyu категоря А5 в/у с/м (Япония);35 000 ₽;;;
Говядина толстый край (Ribeye) Ushichan Wagyu категория А5 в/у с/м (Япония);30 000 ₽;;;
Говядина тонкий край (Striploin) Ushichan Wagyu категория А5 в/у с/м (Япония);29 000 ₽;;;
Говядина мраморная охл Аргентина (зерновой откорм);;;;
Говядина вырезка (Tenderloin) CRESUD(CP) ANGUS в/у охл (Аргентина);5 500 ₽;;;
Говядина огузок (Cup of rump/Picanha) CRESUD(CP) ANGUS охл (Аргентина);4 200 ₽;;;
Говядина толстый край (Ribeye) CRESUD(CP) ANGUS в/у охл (Аргентина);5 000 ₽;;;
Говядина вырезка (Tenderloin) Cabana Las Lilas (Black Angus) в/у охл (Аргентина);4 700 ₽;;;
Говядина толстый край (Ribeye) Cabana Las Lilas (Black Angus) в/у охл (Аргентина);4 300 ₽;;;
Говядина субпродукты Аргентина ;;;;
Говядина тримминг (Trimming) St Giulia BLACK ANGUS в/у с/м (Аргентина);470 ₽;;;
Говядина с/м;;;;
"Говядина вырезка ""Агролайн"" с/м вес. (Россия)";2 353 ₽;;;
"Говядина вырезка АПК ""РМ"" CHOICE в/у с/м (Россия)";2 072 ₽;;;
Говядина вырезка зачищенная CHOICE, ROSSO с/м .в/у . (Россия);3 330 ₽;;;
"Говядина глазной мускул АПК ""РМ"" с/м в/у (Россия)";888 ₽;;;
"Говядина голяшка на кости (оссобуко) АПК ""РМ"" в/у с/м (Россия)";622 ₽;;;
"Говядина грудинка АПК ""РМ""в/у с/м (Россия)";696 ₽;;;
"Говядина грудинка МПК ""Поставский"" в/у с/м (Беларусь)";613 ₽;;;
"Говядина кость мозговая (лодочки) АПК ""РМ"" в/у с/м (Россия)";150 ₽;;;
"Говядина кость мозговая (пеньки) АПК ""РМ"" с/м в/у (Россия)";100 ₽;;;
"Говядина кость мозговая (суставы) АПК ""РМ""в/у с/м (Россия)";70 ₽;;;
"Говядина лопатка АПК ""РМ"" б/к, в/у с/м (Россия)";858 ₽;;;
"Говядина огузок АПК ""РМ"" в/у с/м (Россия)";784 ₽;;;
"Говядина оковалок АПК ""РМ"" с/м в/у (Россия)";903 ₽;;;
Говядина оссобуко (osso buco) ROSSO н/к в/у c/м (Россия);918 ₽;;;
"Говядина оссобуко (osso buco) АПК ""РМ""в/у с/м (Россия)";666 ₽;;;
"Говядина печень АПК ""РМ"" в/у с/м (Россия)";370 ₽;;;
"Говядина рёбра (Short Ribs) АПК ""РМ"" в/у с/м (Россия)";607 ₽;;;
Говядина стейк (оссобуко) МТ в/у с/м вес (Россия);1 154 ₽;;;
Говядина стейк ковбой PRIME ROSSO н/к в/у с/м (Россия);3 256 ₽;;;
Говядина стейк Томагавк PRIME, ROSSO, н/к, c/м.в/у . (Россия);3 034 ₽;;;
Говядина тримминг 70*30 (Прайм Биф) с/м (Россия);744 ₽;;;
"Говядина фарш классический АПК ""РМ"" Халяль в/у с/м (Россия)";548 ₽;;;
"Говядина хвосты АПК ""РМ"" Халяль в/у с/м (Россия)";474 ₽;;;
"Говядина шейный отруб АПК ""РМ"" с/м в/у (Россия)";799 ₽;;;
"Говядина щечки АПК ""РМ"" в/у с/м (Россия)";932 ₽;;;
Говядина щечки с/м (Россия);1 051 ₽;;;
Язык говяжий с/м (Аргентина);1 075 ₽;;;
Язык говяжий с/м (Парагвай);1 008 ₽;;;
Ягнятина;;;;
Ягненок вырезка (ВП) в/у с/м (Россия);2 516 ₽;;;
Ягненок вырезка (Гермес) в/у с/м (Россия);2 738 ₽;;;
Ягненок вырезка с/м (Россия);1 998 ₽;;;
Ягненок голень задняя часть (АБВ) н/к в/у с/м (Россия);962 ₽;;;
Ягненок голень задняя часть (Гермес) н/к в/у с/м (Россия);881 ₽;;;
Ягненок корейка (ВП) 4 ребра в/у с/м (Россия);1 524 ₽;;;
Ягненок корейка (Дамате) н/к 8 ребер с/м, в/у (Россия);2 886 ₽;;;
Ягненок лопатка (АБВ) без кости, c/м, в/у (Россия);1 140 ₽;;;
Ягненок лопатка (АБВ) на кости, c/м, в/у (Россия);992 ₽;;;
Ягненок лопатка (АМ) б/к c/м в/у (Россия);1 273 ₽;;;
Ягненок окорок жиго (Гермес) б/к с/м ( Россия);1 310 ₽;;;
Ягненок тонкий край балык (АМ) Халяль с/м (Россия);1 376 ₽;;;
Ягненок шея (АБВ) б/к в/у с/м (Россия);1 080 ₽;;;
Ягненок язык с/м (Россия);1 080 ₽;;;
Свинина;;;;
Свинина шея ОМПК б/к с/м (Россия);600 ₽;;;
Кролик;;;;
Кролик печень с/м (Россия);650 ₽;;;
Птица;;;;
Индейка;;;;
Индейки филе грудки (ИНЛ) с/м (Россия);660 ₽;;;
Курица;;;;
Куриная печень ГОСТ лоток с/м (Россия);203 ₽;;;
Куриное бедро б/к ,б/к (Куриное Царство) с/м лоток (Россия);638 ₽;;;
Куриное бедро б/кожи ,б/кости (ПТК) с/м 2,5 пакет ГОСТ (Россия);582 ₽;;;
Куриное бедро б/кожи б/кости РПТ лоток с/м (Россия);483 ₽;;;
"Куриное крыло ( 2 фаланги) ГОСТ с/м 2,5 кг ""ПТК"" (Россия)";366 ₽;;;
"Куриное крыло (3 фаланги) монолит 10кг ""София"" с/м (Россия)";274 ₽;;;
"Куриное филе грудки ""Благояр"" лоток с/м (Россия)";499 ₽;;;
"Куриное филе грудки ""Куриное царство"" лоток с/м (Россия)";616 ₽;;;
"Куриное филе грудки ""Наша Птичка"" лоток (Россия)";352 ₽;;;
"Куриное филе грудки ""Приосколье"" лоток с/м (Россия)";555 ₽;;;
"Куриное филе грудки ""София"" с/м монолит (Россия)";562 ₽;;;
Куриное филе грудки (140 г.) ГОСТ блок 2,5 кг с/м (Россия);672 ₽;;;
Куриное филе грудки РПТ заморож.лоток (Россия);550 ₽;;;
Куриный окорочок Октябрьская ПФ с/м,н/п,с/х (Россия);317 ₽;;;
Цыпленок тушка заморож (Приосколье) 1.2 кг (Россия);377 ₽;;;
Цыпленок тушка заморож (Приосколье) 1.8 кг (Россия);318 ₽;;;
Цыпленок тушка калиброванная (Байсад) 0,8 кг с/м (Россия);349 ₽;;;
Цыпленок тушка калиброванная (Байсад) 0,9 кг с/м (Россия);295 ₽;;;
Цыпленок тушка калиброванная (Корнишон) 400-450 г с/м (Россия);490 ₽;;;
Цыпленок тушка калиброванная (Корнишон) 500 + с/м (Россия);430 ₽;;;
Цыпленок тушка калиброванная (Корнишон) зерн.откорма 500+ гр с/м (Россия);590 ₽;;;
Цыпленок тушка калиброванная (Корнишон) зерн.откорма 600+ гр с/м (Россия);580 ₽;;;
Утка;;;;
Утиная печень Фуа-гра цельная 450-600 с/м (Белоруссия);7 400 ₽;;;
Утиная печень Фуа-гра цельная 600-700 с/м (Россия);6 660 ₽;;;
Утиная печень Фуа-гра эскалоп с/м (Белоруссия);6 808 ₽;;;
Утиная грудка сырокопченая Магрэ с/м (Россия);2 768 ₽;;;
Утиное филе грудки большое с/кожей РП с/м (Россия);1 021 ₽;;;
"Утка тушка (2+) кг заморож ""Улыбино"" (Россия)";465 ₽;;;
"Утка тушка 2+ ""РП"" с/м (Россия)";518 ₽;;;
Гусь тушка (3+) кг с/м (Россия);860 ₽;;;
Перепела;;;;
Перепела тушка калиброванная 200+ пакет с/м (Россия);980 ₽;;;
Перепела филе тушки в/у с/м (Россия);1 650 ₽;;;
Морепродукты;;;;
Гребешок;;;;
Гребешок без икры 10/20 с/м 1кг (Китай);1 500 ₽;;;
Гребешок без икры неотбеленный без глазури ДВ 10/20 с/м 5 кг (Россия);5 050 ₽;;;
Гребешок без икры неотбеленный ДВ 10/20 с/м 5 кг (Россия);4 000 ₽;;;
Гребешок без икры Премиум 10/20 с/м 1кг (Китай);2 800 ₽;;;
Гребешок без икры Премиум 30/40 с/м 1кг (Россия);2 400 ₽;;;
Кальмар;;;;
"Кальмар ""LOLIGO"" (8/10) 1 кг с/м (Китай)";960 ₽;;;
Кальмары Командорские с/м к/коробка 1 кг (Россия);905 ₽;;;
Кальмары мини 40/60 с/м (Вьетнам);875 ₽;;;
Кальмары щупальца с/м вес ( Россия);650 ₽;;;
Краб;;;;
"Мясо королевского краба, конечности целые 3L ""Антей"" (Россия)";3 152 ₽;;;
"Мясо королевского краба, конечности целые 4L ""Антей"" (Россия)";3 226 ₽;;;
"Мясо краба кулак очищенный в/м ""Антей"" 1 кг (Россия)";3 600 ₽;;;
"Мясо краба салатное Премиум, в/м уп 1кг ""Антей"" (Россия)";3 500 ₽;;;
"Мясо краба, 1 фаланга (10-14) в/м ""Антей"" 1 кг (Россия)";6 600 ₽;;;
"Мясо краба, роза в/м ""Антей"" 1 кг (Россия)";3 500 ₽;;;
Мясо краба большой клешни на 2-х когтях (кулак) в/м (Россия);4 100 ₽;;;
Креветки без/головы;;;;
Креветки тигровые 16/20 c/м б/г Vannamei 0,907(без глазури) кг (Эквадор);1 310 ₽;;;
Креветки черные тигровые 13/15 c/м б/г 1 кг (Бангладеш);1 750 ₽;;;
Креветки черные тигровые 16/20 б/г с/м 1кг (Индия);1 400 ₽;;;
Креветки черные тигровые 21/25 Vannamei б/г с/м 1кг (Индия);1 317 ₽;;;
Креветки черные тигровые 26/30 б/г с/м 1кг (Бангладеш);1 370 ₽;;;
Креветки черные тигровые 8/12 c/м б/г 1 кг (Бангладеш);1 960 ₽;;;
Креветки easy peel;;;;
Креветки королевские EASY PEEL 13/15 (7% глазури) б/г с/м 1кг (Бангладеш);2 200 ₽;;;
Креветки королевские EASY PEEL 16/20 (7% глазури) б/г с/м 1кг (Бангладеш);2 000 ₽;;;
Креветки во льду (блок);;;;
Креветки черные тигровые 16/20 б/г Vannamei с/м 1,8 кг (Эквадор);1 400 ₽;;;
Креветки черные тигровые 21/25 б/г Vannamei с/м 1,8 кг (Эквадор);1 350 ₽;;;
Креветки очищенные;;;;
Креветки Vannamei очищ. н/хв.21/25 c/м, 1 кг (Индия);1 400 ₽;;;
Креветки Vannamei очищ. н/хв.26/30 с/м, 1 кг (Индия);1 350 ₽;;;
Креветки с/головой;;;;
Креветка северная углохвостая 140/200 в/м 5 кг (Россия);850 ₽;;;
Креветки северные 80/100 в/м 1кг (Россия);1 800 ₽;;;
Креветки северные шейки H/L c/м 1кг (Россия);3 750 ₽;;;
Креветки черные тигровые 13/15 с/гол с/м 1кг (Бангладеш);1 780 ₽;;;
Креветки черные тигровые 16/20 с/гол с/м 1кг (Бангладеш);1 500 ₽;;;
Креветки черные тигровые 8/12 c/м с/гол 1кг (Бангладеш);2 200 ₽;;;
Креветки красные Лангустино;;;;
Креветки красные C0 (20/40) Лангустино б/гол с/м 2кг (Аргентина);1 292 ₽;;;
Креветки красные С1 (31/50) Лангустино с/м б/гол 2кг (Аргентина);1 450 ₽;;;
Креветки красные L1 (10/20) Лангустино с/гол с/м 2кг (Аргентина);1 160 ₽;;;
Креветки красные L2 (21/30) Лангустино с/м с/гол 2кг (Аргентина);1 004 ₽;;;
Креветки красные глубоководные (Карабинерос);;;;
Креветки красные глубоководные (Carabineros) 15/22 с/м с/гол 1 кг (Египет);12 000 ₽;;;
Креветки красные глубоководные (Carabineros) 23/30 с/м с/гол 1 кг (Египет);10 200 ₽;;;
Креветки красные глубоководные (Carabineros) 31/45 с/м с/гол 1 кг (Египет);9 300 ₽;;;
Креветки красные глубоководные (Carabineros) 46/65 с/м с/гол 1 кг (Египет);8 500 ₽;;;
Креветки красные глубоководные (Carabineros) 66/90 с/м с/гол 1 кг (Египет);6 200 ₽;;;
Креветки;;;;
Креветки (Цикада larg) с/м (Египет);3 100 ₽;;;
Креветки полосатые (Карума) 10/20 с/м 1 кг (Египет);6 000 ₽;;;
Креветки розовые дикие (Mazzancolla) 180/240 очищ с/м 1 кг (Египет);3 000 ₽;;;
Морские деликатесы;;;;
Вонголе 31/40 в/м в/у 0,5 кг (Китай);690 ₽;;;
Каракатица мини 60/80 с/м (Вьетнам);1 150 ₽;;;
Лобстер с/м 1200-1600 (Россия);8 500 ₽;;;
Лобстер с/м 500-800 ( Россия);8 500 ₽;;;
Лобстер с/м 800-1200 (Россия);8 500 ₽;;;
Мидии в голубых раковинах 40/60 в/м 10217 1кг (Чили);500 ₽;;;
Мидии зеленые в половинках раковин 30/45 с/м ,1кг (Китай);1 560 ₽;;;
Мидии мясо 200/300 в/м вес (Чили);650 ₽;;;
Миниосьминожки 40/60 с/м (Вьетнам);940 ₽;;;
Рапана мясо с/м (Россия);650 ₽;;;
Осьминог;;;;
Осьминог 1,5-2 кг с/м Мавритания (Ch);1 900 ₽;;;
Осьминог 1,8-2,7 кг с/м вес (Индонезия);1 700 ₽;;;
Осьминог 2-3 кг с/м (Марокко);2 900 ₽;;;
Осьминог 4-6 кг с/м (Марокко);3 100 ₽;;;
Улитки;;;;
Улитка филе в/м в/у 200 гр шт (Россия);1 000 ₽;;;
Улитки СХ Ассорти в/м в/у 12шт уп (Россия);1 500 ₽;;;
Рыба и Морепродукты охлажденные  /под заказ/;;;;
Рыба Египет (заказ в ср, отгрузка во вт);;;;
Белый сарг (полосатый карась) 300/500 гр охл (Египет);3 250 ₽;;;
Горбыль/Меагр охл (Египет);2 500 ₽;;;
Дорада охл (Египет);3 000 ₽;;;
Желтохвост (Сериола) охл (Египет);5 000 ₽;;;
Зубан охл (Египет);3 500 ₽;;;
Кефаль/Лобан 0,5/1 кг охл (Египет);2 500 ₽;;;
Пагр (Королевская дорада) охл (Египет);3 900 ₽;;;
Сардина 20/30 шт/кг охл (Египет);3 250 ₽;;;
Сибас/Лаврак охл (Египет);3 500 ₽;;;
Рыба Мурманск ;;;;
Лосось охл (Мурманск);под заказ;;;
Лосось филе (семга) МР в/у (trim D) охл (Россия);под заказ;;;
Рыба Марокко  (заказ в ср, отгрузка во вт)          ;;;;
Альфонсино охл (Марокко);6 500 ₽;;;
Ерш морской (Rascasse) охл (Марокко);5 800 ₽;;;
Зубан (Синегрида/Dentex) охл (Марокко);4 850 ₽;;;
Морской дракон (Vive) охл (Марокко);4 300 ₽;;;
Морской черт хвосты (Lotte) охл (Марокко);6 700 ₽;;;
Морской язык тигровый (Tiger) охл (Марокко);5 000 ₽;;;
Пагелл красный (Breika) охл (Марокко);4 500 ₽;;;
Пагр (Pageot) охл (Марокко);5 900 ₽;;;
Петух морской охл (Марокко);5 500 ₽;;;
Сибас дикий (Лаврак) охл (Марокко);6 800 ₽;;;
Солнечник охл (Марокко);5 000 ₽;;;
Тунец полосатый Пеламида (Bonito) охл (Марокко);5 000 ₽;;;
Тюрбо охл (Марокко);6 270 ₽;;;
 Морепродукты Марокко         ;;;;
Кальмар 300+ гр охл (Марокко);5 000 ₽;;;
Креветка красная 100/200 гр/шт охл (Марокко);13 000 ₽;;;
Норвежский омар (Лангустины) охл (Марокко);11 000 ₽;;;
Осьминог охл (Марокко);под заказ;;;
Рифовая рыба Шри-Ланка (заказ в чт, отгрузка в чт/ размеры рыб уточняйте у менеджера) ;;;;
Акула охл (Шри-Ланка);2 542 ₽;;;
Анчоус охл (Шри-Ланка);2 139 ₽;;;
Барракуда охл (Шри-Ланка);2 379 ₽;;;
Барракуда филе охл (Шри-Ланка);2 990 ₽;;;
Баррамунди охл (Шри-Ланка);2 379 ₽;;;
Баррамунди филе охл (Шри-Ланка);3 055 ₽;;;
