№;Код;Наименование товаров / Наименование англ.;Упаковка;Ед.;Цена, р. за ед.
1;60162;Говядина глазной мускул б/к п/сухожил мышца ~2кг в/у~18-23кг/кор Светлый МК Беларусь (КОР) (КОД 60162) (-18°С);~18-23кг;кг;609,13
;;;;;
2;60219;Говядина грудной отруб б/к ~5кг в/у ~16-25кг/кор Александров Беларусь (КОР) (КОД 60219) (-18°С);~21кг;кг;572,69
;;;;;
3;60159;Говядина грудной отруб б/к ~5кг в/у ~16-25кг/кор Светлый МК Беларусь (КОР) (КОД 60159) (-18°С);~21кг;кг;593,45
;;;;;
4;60210;Говядина лопаточный отруб без голяшки б/к ~8кг в/у ~15-22кг/кор Александров Беларусь (КОР) (КОД 60210) (-18°С);~20кг;кг;572,69
;;;;;
5;60156;Говядина лопаточный отруб без голяшки б/к ~8кг в/у ~15-22кг/кор Светлый МК Беларусь (КОР) (КОД 60156) (-18°С);~20кг;кг;574,73
;;;;;
6;60163;Говядина оковалок б/к ~5кг в/у ~16-25кг/кор таз отруб бок часть Светлый МК Беларусь (КОР) (КОД 60163) (-18°С);~22кг;кг;611
;;;;;
7;60213;Говядина подлопаточный отруб б/к ~5кг в/у ~18-26кг/кор Александров Беларусь (КОР) (КОД 60213) (-18°С);~20кг;кг;572,69
;;;;;
8;60158;Говядина подлопаточный отруб б/к ~5кг в/у ~18-26кг/кор Светлый МК Беларусь (КОР) (КОД 60158) (-18°С);~22кг;кг;611
;;;;;
9;60212;Говядина спинной отруб б/к ~4кг в/у ~18-25кг/кор Александров Беларусь (КОР) (КОД 60212) (-18°С);~22кг;кг;663
;;;;;
10;60165;Говядина спинной отруб б/к ~4кг в/у ~18-25кг/кор Светлый МК Беларусь (КОР) (КОД 60165) (-18°С);~22кг;кг;663
;;;;;
11;60221;Говядина шейный отруб (филе) ~4кг в/у ~16-22кг/кор Александров Беларусь (КОР) (КОД 60221) (-18°С);~20кг;кг;572,69
;;;;;
;;Говядина, Аргентина / Beef, Argentina;;;
12;52353;Говядина Вырезка с цепочкой 3/4 1,3-1,8кг в/у Frigomerc №23 Парагвай (КОД 52353) (-18°С);~10-12кг;кг;1 515,00
;;;;;
13;52349;Говядина Вырезка с цепочкой 4/5 1,8-2,3кг в/у Frigomerc №23 Парагвай (КОД 52349) (-18°С);~10-12кг;кг;1 515,00
;;;;;
14;49214;Говядина Щечки 20кг/монолит Offal Exp S.A №4407 Аргентина (ГФ) (КОД 49214) (-18°С);20кг;кор;9 410,70
;;;;;
15;17410;Говядина Щечки 20кг/монолит Offal Exp S.A №4407 Аргентина (КОД 17410) (-18°С);20 кг;кор;9 412,00
;;;;;
;;Говядина, Бразилия / Beef, Brazil;;;
16;52291;Говядина Вырезка с цепочкой 4/5 1,8-2.2кг в/у Minerva №680В Колумбия (КОД 52291) (-18°С);~25кг;кг;1 515,00
;;;;;
;;Говядина, Россия / Beef, Russia;;;
;;"Говядина Заречное, Россия / Beef ""Zarechnoe"", Russia";;;
17;10777;Говядина подлопаточный отруб б/к ~4кг в/у Заречное Россия (64043) (КОД 10777) (-18°С);~20-25кг;кг;546
;;;;;
18;59229;Говядина Лопатка б/к ~7-14кг пакет Бобруйский МК Беларусь (КОД 59229) (-18°С);~26кг;кг;528,39
;;;;;
;;"Говядина Мираторг, замороженная / Beef ""Miratorg"", Russia";;;
19;48500;Говядина Вырезка с цепочкой ~2-3кг в/у Фермерский бычок™ Мираторг Брянская МК (КОД 48500) (-18°С);~12-13кг;кг;1 642,51
;;;;;
20;57581;Говядина мраморная Вырезка зачищ с цепочкой (Matured Beef) в/у ~3кг Мираторг® Брянская МК (КОД 57581) (-18°С);~6кг;кг;1 495,00
;;;;;
21;56093;Говядина оковалок б/к ~4кг в/у внеш.часть бедра кат.А BlackAngus Мираторг Россия (КОД 56093) (-18°С);4-7х~4кг;кг;887,25
;;;;;
22;15174;Говядина Стриплойн Поясн отруб б/к (филейный край) ~3-5кг в/у Мираторг® (КОД 15174) (-18°С);~20кг;кг;806
;;Beef striploin boneless, frozen, ~3.5кг (~10,5кг), Miratorg, Russia;;;
23;51693;Говядина толстый филей (Рибай) с/м в/у ~2-5кг Мираторг® Брянская МК Россия 730дн (КОД 51693) (-18°);~20кг;кг;812,5
;;;;;
24;52460;Говядина Фарш 80/20 2кг в/у (ТF) кат Б Black Angus Мираторг® Брянская МК Россия (КОД 52460) (-18°С);4х2кг;шт;1 054,20
;;;;;
25;56391;Говядина шейный отруб (филе) ~1,6-3,2кг в/у Black Angus Мираторг Россия (КОД 56391) (-18°С);4х ~1,6-3,2кг;кг;628,73
;;;;;
26;15596;Диафрагма тонкая внешняя говяжья (outside) с/м в/у ~0,5-1кг ANGUS Мираторг (КОД 15596) (-18°С);~2,7-4кг;кг;1 705,80
;;;;;
27;49486;Кость говяжья трубчатая  с/м ~3кг/пак Мираторг Брянская МК (КОД 49486) (-18°С);~18кг;кг;314,23
;;;;;
;;"Говядина Праймбиф замороженная, Россия / Beef ""Primebeef"", frozen, Russia";;;
28;46597;Говядина Боковая ч/бедра б/к с/м ~5кг(KnucklePeeled 167A) Primebeef® (66968 79920) (КОД 46597) (-18°С);~20кг;кг;729,3
;;;;;
29;46910;Говядина Вырезка Экстра ~2,2 кг в/у Top Choice(Terderloin,190)Primebeef® (66961) (КОД 46910) (-18°С);~18кг;кг;3 681,77
;;;;;
30;47107;Говядина Вырезка Экстра ~2.2кг в/у Prime(TerderloinDefatted,190) Primebeef®(79938)(КОД 47107)(-18°C);16-24кг;кг;3 887,00
;;;;;
31;15466;Говядина Вырезка Экстра зам в/у 2-3 кг (Terderloin 190) Primebeef (66409) (КОД 15466)(-18°С);16-24кг;кг;2 441,40
;;;;;
32;47703;Говядина вырезка экстра~2-3кг в/у Choice(Terderloin Defatted190)Primebeef®(66951)(КОД 47703) (-18°C);16-24кг;кг;3 359,94
;;;;;
33;98705;Говядина голяшка б/к с/м ~1,5-3кг в/у Shank Meat Primebeef (66035 78257 67065 66948 79926) (КОД 98705) (-18°С);10-15кг;кг;635,91
;;Beef Shank Meat boneless, frozen, Primebeef, Russia;;;
34;54677;Говядина грудинка для запекания б/к ~2-4кг в/у с/м (Plate Meat) Primebeef (66383)(КОД 54677)(-18°С);~15-21кг;кг;450,73
;;;;;
35;54655;Говядина грудной отруб б/к 4-9кг в/у (Brisket Deckle Off120) Primebeef (66370 66943) (КОД 54655) (-18°С);15-21кг;кг;954,98
;;;;;
36;98704;Говядина для запекания б/к зам ~12кг CapMeat Primebeef® (66037,66338) (КОД 98704) (-18°С);10-15кг;кг;835,79
;;Beef Cap Meat boneless, frozen, Primebeef, Russia;;;
37;46519;Говядина для запекания б/к с/м~3кг Cap Meat Primebeef® (КОД 46519) (-18°С);~12кг;кг;750,28
;;;;;
38;46606;Говядина для запекания наруж/ч б/к с/м~2-3кг RumpRoast171Е Primebeef® (79962 79918) (КОД 46606) (-18°С);~20кг;кг;729,3
;;;;;
39;98805;Говядина жир-сырец ангуса подкожный с/м ~25кг блок Primebeef® Заречное (53034) (КОР) (КОД 98805) (-18°С);18кг;кг;344,64
;;;;;
40;54672;Говядина кострец нижняя часть б/к с/м 1,5-4кг (Flap Boneless185А) Primebeef (66369) (КОД 54672) (-18°С);15-21кг;кг;1 337,50
;;;;;
41;46238;Говядина котлетное мясо б/к жилованная 80/20 зам~18кг/блок ПРАЙМ (66156) (КОД 46238) (-18°С);~20кг;кг;400,15
;;;;;
42;57343;Говядина котлетное мясо Тримминг из мрам гов 60/40 ~18-22кг/блок Primebeef® (79960,66150) (КОД 57343)(-18°С);~18-22кг;кг;397,54
;;;;;
43;49114;Говядина котлетное мясо Тримминг из мрам гов 70/30 2х~10кг/кор Primebeef® (66956,66151)(КОР)(КОД 49114)(-18С);~20кг;кг;481,06
;;;;;
44;57201;Говядина котлетное мясо Тримминг из мрам гов 80/20 ~19-27кг/блок Primebeef® (66152) (КОД 57201)(-18°С);~19-27кг;кг;500,5
;;;;;
45;54671;Говядина лопаточный отруб задняя часть б/к с/м 2,2-4,8кг(Clod 114E)Primebeef(66352)(КОД54671)(-18°С);15-21кг;кг;829,3
;;;;;
46;46517;Говядина лопаточный отруб задняя часть б/к с/м~3кг(Clod,114E)Primebeef® (66939) (КОД 46517) (-18°С);~17кг;кг;815,49
;;;;;
