Цены указаны на 27.01.2024 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Страница 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Код;;;;Наименование;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Кол-во в месте;;;Мин. партия отгрузки;;;Един. измерения;;;Цена;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Мучные и крупяные изделия;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;116447;;;;Рис Басмати Manarani 2 кг ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;10;;;шт;;;442,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Мясо замороженное;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;116018;;;;Грудинка свиная н/к н/ш зам. Тамбовский Бекон - 12кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;12;;;кг;;;319,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;116373;;;;Фарш для бургеров зам.Чернышихинский МК - 2кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;кг;;;593,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Мясо свежее;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115662;;;;Тонкий край говяжий Select Strip Loin б/к охл. ВладБиф 4 - 5 кг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;4;;;кг;;;1089,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Орехи и сухофрукты;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;116616;;;;Изюм без косточки темный кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;10;;;кг;;;275,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
