Ценовая зона;Категория;Артикул;Названия артикула;Вложение;Цена без НДС;Цена с НДС;Дата старта;Дата завершения;
Sochi;Bakery;333751;350Г БАТОН ОСЕННИЙ В_С;1;52,67;57,94;7 Sept 2023;4 Oct 2023;
Sochi;Bakery;333749;350Г БАТОН ОСЕННИЙ В НАРЕЗКЕ В_С;1;54,66;60,13;23 Aug 2023;19 Sept 2023;
Sochi;Bakery;333751;350Г БАТОН ОСЕННИЙ В_С;1;52,67;57,94;23 Aug 2023;19 Sept 2023;
Sochi;Bakery;125532;8X62,5Г ТОРТИЛЬЯ 25СМ METRO CHEF ШПИНАТ БАЗИЛ;1;149,42;164,36;16 Sept 2023;13 Oct 2023;
Sochi;Bakery;333751;350Г БАТОН ОСЕННИЙ В_С;1;52,67;57,94;16 Sept 2023;13 Oct 2023;
Sochi;Bakery;667929;250Г ТОРТИЛЬЯ ГРИЛЬ MISSION 6ШТ 20СМ;1;117,48;129,23;16 Sept 2023;13 Oct 2023;
Sochi;Bakery;211874;200Г БУЛОЧКА BIMBO ХОТ-ДОГ;1;87,8;96,58;14 Sept 2023;20 Sept 2023;
Sochi;Bakery;211875;228Г ЛЕПЕШКА BIMBO ИЗ ПШЕНИЧНОЙ МУКИ 20СМ ТОРТИЛЬЯ;1;82,91;91,2;14 Sept 2023;20 Sept 2023;
Sochi;Bakery;211876;240Г БУЛОЧКА BIMBO ДЛЯ ГАМБУРГЕРОВ ИЗ ПШЕНИЧНОЙ МУКИ;1;65,34;71,87;14 Sept 2023;20 Sept 2023;
Sochi;Bakery;211883;240Г БУЛОЧКА BIMBO ДЛЯ ГАМБУРГЕРОВ ИЗ ПШЕН МУКИ С КУНЖУТ;1;68,26;75,09;14 Sept 2023;20 Sept 2023;
Sochi;Bakery;211884;252Г БУЛОЧКА BIMBO ДЛЯ ГАМБУРГ ИЗ ПШЕНИЧ МУКИ МАКСИ КУНЖУТ;1;68,26;75,09;14 Sept 2023;20 Sept 2023;
Sochi;Bakery;211885;390Г ЛЕПЕШКА BIMBO ИЗ ПШЕНИЧНОЙ МУКИ 25СМ ТОРТИЛЬЯ;1;97,57;107,33;14 Sept 2023;20 Sept 2023;
Sochi;Bakery;217151;400Г ТОРТИЛЬЯ ДЕЛИКАД ОРИГИНАЛ 6ШТ 25СМ;1;99,46;109,41;14 Sept 2023;20 Sept 2023;
Sochi;Bakery;217152;400Г ТОРТИЛЬЯ ДЕЛИКАД СЫР 6ШТ 25СМ;1;108,52;119,37;14 Sept 2023;20 Sept 2023;
Sochi;Bakery;218368;100Г ГАЛСТУК DELIFRANCE ШОКОЛАД ЗАМ;1;69,72;83,66;14 Sept 2023;20 Sept 2023;
Sochi;Bakery;218369;55Г КРУАССАН DELIFRANCE С МАСЛОМ ЗАМ;1;45,79;54,95;14 Sept 2023;20 Sept 2023;
Sochi;Bakery;218370;90Г КРУАССАН DELIFRANCE МАЛИНА ЗАМ;1;62,78;75,34;14 Sept 2023;20 Sept 2023;
Sochi;Bakery;218371;90Г КРУАССАН DELIFRANCE С МАРЦИПАНОМ ЗАМ;1;74,1;88,92;14 Sept 2023;20 Sept 2023;
Sochi;Bakery;218372;90Г КРУАССАН DELIFRANCE ШОКОЛАД ЗАМ;1;70,35;84,42;14 Sept 2023;20 Sept 2023;
Sochi;Bakery;218373;90ГР КРУАССАН DELIFRANCE С ШОК И ОРЕХОМ ЗАМ;1;74,1;88,92;14 Sept 2023;20 Sept 2023;
Sochi;Bakery;218374;90Г УЛИТКА КОРИЦА DELIFRANCE ЗАМ;1;50,19;60,23;14 Sept 2023;20 Sept 2023;
Sochi;Bakery;218375;95Г ПЛЕТЕН DELIFRANCE КЛЕНОВ ПЕКАН ГКВ ЗАМ;1;82,92;99,5;14 Sept 2023;20 Sept 2023;
Sochi;Bakery;220871;5ШТX69Г ЛЕПЕШКА МЕКСИК ТОРТИЛЬЯ METRO CHEF 23-25СМ;1;83,89;92,28;14 Sept 2023;20 Sept 2023;
Sochi;Bakery;220875;5X69Г ТОРТИЛЬЯ METRO CHEF СЫРНАЯ 23-25СМ;1;88,78;97,66;14 Sept 2023;20 Sept 2023;
Sochi;Bakery;222682;320Г ХЛЕБ ДЛЯ СЭНДВИЧЕЙ METRO CHEF ОРИГИНАЛЬНЫЙ;1;78,03;85,83;14 Sept 2023;20 Sept 2023;
Sochi;Bakery;228780;515Г ХЛЕБ ДЛЯ ТОСТОВ С ОТРУБЯМИ HARRY'S;1;95,48;105,03;23 Aug 2023;19 Sept 2023;
Sochi;Bakery;229047;470Г ХЛЕБ ПШЕНИЧНЫЙ HARRY'S;1;87,73;96,5;15 Sept 2023;13 Oct 2023;
