;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Десерты - Пирожные;;;;
"Донат глазированный ""Клубничный джем"" с начинкой 60г*12шт / Линия Вкуса";шт;41,33;;
"Донат глазированный ""Шоколад"" с начинкой 60г*12шт / Линия вкуса";шт;41,33;;
"Донат глазированный ""Ягодный микс"" с начинкой 60г*12шт / Линия вкуса";шт;41,33;;
Донат с начинкой со вкусом клубники 80г*48шт / Don Donut;шт;41,34;;
Донат с начинкой со вкусом черники 80г*48шт / Don Donut;шт;41,33;;
Донат с начинкой со вкусом шоколада 80г*48шт Don Donut;шт;41,33;;
"Набор пирожных ""Муравейник"" 420г";шт;176;;
"Пирожные ""Колечки с творогом"" 300г / Mirel";шт;176;;
"Пончик Донат глазированный ""Ваниль"" 60г*12шт / Линия вкуса";шт;44,66;;
"Пончик Донат глазированный ""Карамель"" с начинкой 60г*12шт / Линия вкуса";шт;44,66;;
Десерты - Хорека;;;;
Варенье из сосновой шишки 240г;шт;444;;
Вафли трубочки Яшкино ореховые 190г;шт;71,69;;
Запеканка 9 кг/кор (100г*90шт) / Корона-ФУД;кг;ждём;;
Мини сокровище с заварным кремом 25г (200шт);шт;22,71;;
Морож Клубничное 5000л/2585гр (22695) / Десерт Фентези;шт;2567;;
Морож пломбир Ванильное 15% 2500гр(2шт) (805дм) / Десерт Фентези;шт;1211;;
"Мороженое ""Голубое небо"" 3кг / Дольче Латте";шт;1976;;
Мороженое Арбуз 3кг / Дольче Латте;шт;2140;;
Мороженое Бабл Гам 3кг / Дольче Латте ;шт;1976;;
Мороженое Банан 3кг / Дольче Латте;шт;1815;;
Мороженое Ваниль бурбон 12% 3кг / Дольче Латте;шт;1815;;
Мороженое ваниль, банан с шоколадом и миндалем 3кг / Дольче Латте ;шт;2075;;
Мороженое ваниль, грецкий орех с кленовым сиропом 3кг / Дольче Латте;шт;2009;;
Мороженое ванильное 2,2 кг - Айсберри;шт;452;;
Мороженое Ванильное 2,кг / Десерт Фентези;шт;1929;;
Мороженое Ванильное 3кг / Дольче Латте ;шт;872;;
Мороженое Дабл Бабл 3кг / Дольче Латте ;шт;2146;;
Мороженое Дольче Латте Солёная карамель с арахисом 3кг;шт;1963;;
Мороженое Дольче Латте Шоколад 12% с кусочками шоколада 3кг;шт;1943;;
Мороженое Дыня сливочное 3кг / Дольче Латте;шт;1905;;
Мороженое Йогурт виноград 3кг / Дольче Латте;шт;2064;;
Мороженое Клубника и банан 3кг / Дольче Латте;шт;2146;;
Мороженое Клубника со сливками 3кг / Дольче Латте;шт;1908;;
