;;;;;;;;;;;;;;;;;;;;;;;;;
Прайс-лист для партнера ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Прайс-лист;;;;;;;;;;;;;;;;;;;;;;;;;
4 сентября 2023 г.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Наименование товаров;Цена за ед.;;Кол-во в упаковке;Страна / Производитель;"Количество на 
складах";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
01. МЯСО, ПТИЦА И МЯСНАЯ ГАСТРОНОМИЯ;;;;;;;;;;;;;;;;;;;;;;;;;
01.1 Мясная гастрономия;;;;;;;;;;;;;;;;;;;;;;;;;
"01.1.03 Мясные изедлия  ""Златиборац""";;;;;;;;;;;;;;;;;;;;;;;;;
"			Бекон варено-копченый нарезка ""Златиборац"" заморож. (0,500 кг) упак. 10 шт.";456,33;шт;10;СЕРБИЯ/ZLATIBORAC D.O.O.;1 469;;;;;;;;;;;;;;;;;;;;
"			Колбаса для пиццы Сербская острая Пепперони ""Златиборац"" в/к замороженная (0,500 кг) упак. 10 шт.";447,72;шт;10;СЕРБИЯ;1 034;;;;;;;;;;;;;;;;;;;;
01.1.04 Мясные изделия производителей РФ;;;;;;;;;;;;;;;;;;;;;;;;;
"			Бекон с/к в/у нарезка зам HRC ""Велком"" (~1,000 кг) 10 штук упак";538,79;кг;10;"ООО ""Мясокомбинат ""Павловская Слобода""";289,93;;;;;;;;;;;;;;;;;;;;
"			Ветчина из бедра индейки вареная ""Микоян"" ~3 кг (коробка ~12 кг)";284,79;кг;1;Микояновский мясокомбинат (Россия);87,867;;;;;;;;;;;;;;;;;;;;
"			Ветчина из окорока вареная ""Микоян"" ~3,5 кг (коробка ~20 кг)";241,98;кг;20;Микояновский мясокомбинат (Россия);47,596;;;;;;;;;;;;;;;;;;;;
"			Сосиски ""Венские Традиционные"" вес. Торес";641,92;кг;1;;26,827;;;;;;;;;;;;;;;;;;;;
			Сосиски для хот-догов из свинины зам в/у 10 х 0,75гр (0,750 кг) упак.12 шт;376,38;шт;1;;6;;;;;;;;;;;;;;;;;;;;
"01.1.05 Мясные изделия из дичи ""Мясные деликатесы""";;;;;;;;;;;;;;;;;;;;;;;;;
"			Колбаса сыровяленая из Зайца ""Мир продуктов"" (0,075 кг) упак. 10 шт.";163,68;шт;10;РОССИЯ;10;;;;;;;;;;;;;;;;;;;;
"			Колбаса сыровяленая из Лося ""Мир продуктов"" (0,075 кг) упак. 10 шт.";163,68;шт;10;РОССИЯ;7;;;;;;;;;;;;;;;;;;;;
"			Колбаса сыровяленая из Марала ""Мир продуктов"" (0,075 кг) упак. 10 шт.";157,13;шт;1;РОССИЯ;10;;;;;;;;;;;;;;;;;;;;
"			Колбаса сыровяленая из Медведя ""Мир продуктов"" (0,075 кг) упак. 10 шт.";157,13;шт;10;РОССИЯ;7;;;;;;;;;;;;;;;;;;;;
"			Колбаса сыровяленая из Оленины ""Мир продуктов"" (0,075 кг) упак. 10 шт.";163,55;шт;10;РОССИЯ;5;;;;;;;;;;;;;;;;;;;;
"			Колбаса сыровяленая из Утки ""Мир продуктов"" (0,075 кг) упак. 10 шт.";157,13;шт;10;РОССИЯ;7;;;;;;;;;;;;;;;;;;;;
01.1.08 Паштеты Setra;;;;;;;;;;;;;;;;;;;;;;;;;
			Паштет Setra из индейки 100 гр. кор.20шт.;98,75;шт;20;;94;;;;;;;;;;;;;;;;;;;;
