;;;КАЗАФИЧИО ДА СТЕФАНО;
;;;Бьянкетто (бьянка), кг;1 149,50
;;;Оливетто ( c оливкой), кг;1 391,50
;;;Пепенеретто ( с черным перцем) , кг;1 270,50
;;;Пикантинетто ( с красным перцем) , кг;1 270,50
;;;Помодоретто ( с томатами), кг;1 391,50
;;;Сыр Брынза (Brynza), кг                                                                                                                    НОВИНКА!!!;600,00
;;;Сыр Качотта с пажитником (Caciotta al fenugreek), кг;1 287,00
;;;Сыр Монтазио пт (Казефичио), кг;1 452,00
;;;Сыр Монтазио с чёрным трюфелем (Казефичио), кг;1 815,00
;;;Сыр Таледжио (Talegio), кг;1 754,50
;;;Таледжио с трюфелем, кг;1 650,00
;;;Тартуфетто ( с черным трюфелем), кг;1 694,00
;;;БОН ЛАТТЕ ;
;;;Буррата  0,125 кг, шт;155,10
;;;Буррата  0,150 кг, шт;187,00
;;;Буррата  0,200 кг , шт;247,50
;;;Буррата  0,250 кг, шт;309,10
;;;Буррата 0,200 кг (пакет), шт;247,50
;;;Буррата 0,250  кг (пакет), шт;309,10
;;;Моцарелла  (125 гр шар) в рассоле 3 кг  в штуках;2 326,50
;;;Моцарелла 0,125 кг, (4 шт);101,20
;;;Моцарелла для пиццы в рассоле 3 кг  в штуках;2 326,50
;;;Моцарелла Чиледжина  0,210 кг, шт;170,50
;;;Рикотта  1 кг, шт;385,00
;;;Рикотта 0,300 кг, шт;115,50
;;;Силано бьянка, кг;1 265,00
;;;Силано копченый , кг;1 320,00
;;;Скаморца  бьянка, кг;1 155,00
;;;Скаморца  копченая, кг;1 210,00
;;;Страчателла 0,250 кг, шт;297,00
;;;Сыр Качиоковалло , кг;1 408,00
;;;МОЛОКО ГРУПП;
;;;Горгонзола дольче с м.д.ж. 55% ~ 550 г, кг;1 897,50
;;;Гранд Премьер,выд. от 6 мес, кг;2 145,00
;;;Джерси Чиз (Jersey Cheese) с м.д.ж. 55% вес 1/2 головы, кг;1 815,00
;;;Джерси Чиз с мжд 55%, кг;1 815,00
;;;Пармезан  с м.д.ж 48 %  Россия , кусок ~2,5 кг, кг;1 980,00
;;;Пармезан с м.д.ж. 48%  (тертый),ведро 1 кг, шт;1 980,00
;;;Пармезан тертый 0,150 кг, шт;297,00
;;;Петит Премьер  сыр с м.д.ж. 48% выдерж. 6 мес., кг;1 980,00
;;;Раклет сыр с м.д.ж. 45% выдерж. 6 мес., кг;1 815,00
;;;ЛЕ ФОРТ;
;;;Сыр БРИ мягкий МЖД 50% 125гр, шт;220,00
;;;Сыр Камамбер Блу (с плесенью) мягкий МЖД 55% 125гр, шт;242,00
;;;Сыр Камамбер мягкий МЖД 50% 125гр, шт;220,00
;;;Сыр Камамбер с грибами мягкий МЖД 50% 125гр, шт;231,00
;;;Сыр Камамбер с орехами мягкий МЖД 50% 125гр, шт;231,00
;;;БОБРОВСКИЙ СЫР ЗАВОД ;
;;;Сыр с голубой благородной плесенью 50% тм Grassan, круг, кг;1385,00
;;;Сыр с голубой благородной плесенью 50% тм Mont Blu, круг, кг;1425,00
;;;Сыр с голубой благородной плесенью 60% тм BLUZ, круг, кг;1475,00
;;;БАЛАГЕЗЯН;
;;;Сыр СУЛУГУНИ для запекания;590,00
;;;ИТАЛЬЯНСКИЕ ТРАДИЦИИ;
;;;Азоло (Asolo) весов. 1/4 гол. (3кг), кг;1 617,00
;;;Азоло (Asolo), весов., цел.голова (~12кг), кг;1 617,00
;;;Мантова 3-4 мес. (Mantova), весов., целая гол.(~ 6 кг), кг;2 112,00
;;;Мантова сыр (Mantova) 1/4 гол. 1,5 кг, кг;2 112,00
;;;МонтеБлун сыр с голубой плесенью цел.голова (~4кг), кг;1 815,00
