1;Авокадо повышенной жирности с/м Freshcourt 500гр, 12шт/кор, Мексика;343,00;шт;
2;АКЦИЯ Икра Масаго Голд оранжевая Умами 500гр, 6шт/кор;193,00;шт;
3;АКЦИЯ Икра Масаго Люкс малиновая Умами 500гр, 6шт/кор;197,00;шт;
4;Креветка ваннамей с/м в панцире б/г 21/25 кат.А Procesadora 5888 1,8кг,10,8кг/кор,Эквадор;912,00;кг;
5;Лосось с/м 5/6 EXPORTADORA LOS FIORDOS LIMITADA 10673, ±30кг/кор;1 238,00;кг;
6;Лосось филе с/м трим Д Salmones Camanchaca S.A. 08384 2,0-2,6кг, ±15кг/кор;2 088,00;кг;
7;Лосось филе с/м трим Д Yadran Quellon S. A. 10722, 141019 1,8-2,2кг, ±15кг/кор;2 099,00;кг;
8;Мидии голубые раковины 40/60 RIA AUSTRAL S A № 10671 1кг, 5шт/кор;337,00;кг;
9;Угорь жареный зам. технический в/у SANGO Wuyishan Hande 3500/02424 19-21oz 600-7000гр,10кг/кор;1 847,00;кг;
10;Ананасы консервированные кольца MIKADO 580мл/565гр/340гр, 12шт/кор;186,00;шт;
11;Ананасы консервированные кольца в легком сиропе Бояринъ 580мл/565гр/290гр ж/б, 12шт/кор;153,00;шт;
12;Ананасы консервированные кольца в легком сиропе Донская кухня 580мл/565гр/300гр ж/б, 24шт/кор;119,00;шт;
13;Ананасы консервированные кусочки MIKADO 580мл/565гр/340гр, 12шт/кор;154,00;шт;
14;Ананасы консервированные кусочки SUNFEEL 580мл/565гр/340гр ж/б, 24шт/кор;121,00;шт;
15;Ананасы консервированные кусочки в легком сиропе Бояринъ 580мл/565гр/340гр ж/б, 12шт/кор;132,00;шт;
16;Базилик SpicExpert 1кг пакет, 5шт/кор;450,00;шт;
17;Бастурма Premium Мискер ±400гр, ±2кг/кор;2 331,00;кг;
18;Бекон нарезка в/к зам. Буженаль Дымов 500гр, 10шт/кор;217,00;шт;
19;Бекон нарезка в/к зам. Дымов 500гр, 20шт/кор.;329,00;шт;
20;Бекон нарезка в/к зам. Златиборац 500гр, 12шт/кор;485,00;шт;
21;Бекон нарезка в/к охл.Орловский Знаменский МК 500гр, 16шт/кор;282,00;шт;
22;Бекон нарезка с/к зам. Дымов 500гр, 20шт/кор арт.1962;320,00;шт;
23;Бекон нарезка с/к зам. Ремит 500гр, 10шт/кор;406,00;шт;
24;Бобы соевые в стручках Эдамаме Esoro 500гр, 20шт/кор, Китай;226,00;шт;
25;Бобы соевые очищенные Мукимаме Мидори 500гр, 20шт/кор, Китай;317,00;шт;
26;Бобы соевые очищенные Эдамаме Esoro 250гр, 40шт/кор, Китай;150,00;шт;
27;Брезаола Premium Мискер ±400гр, ±2кг/кор;3 087,00;кг;
28;Брокколи с/м 2кг, 8кг/кор;231,00;кг;
29;Брокколи с/м, 8кг/кор;182,00;кг;
30;Брусника с/м, 10кг/кор;516,00;кг;
31;Брусника с/м, 10кг/кор;519,00;кг;
32;Булочка для гамбургера без кунжута d100мм Багерстат Рус 52гр, 48шт/кор арт. 1462/25113;609,00;кор;
33;Булочка для гамбургера без кунжута d125мм Багерстат Рус 82гр, 24шт/кор арт. 3014;486,00;кор;
34;Булочка для гамбургера Бриошь d100мм Багерстат Рус 55гр, 48шт/кор арт. 3262;843,00;кор;
35;Булочка для гамбургера Бриошь d125мм Багерстат Рус 84гр, 24шт/кор арт. 200991/26690001;603,00;кор;
36;Булочка для гамбургера Глейз d100мм Багерстат Рус 52гр, 48шт/кор арт. 221583;634,00;кор;
37;Булочка для гамбургера картофельная d125мм Багерстат Рус 80гр, 24шт/кор арт. 215500;632,00;кор;
38;Булочка для гамбургера мультизлаковая d125мм Багерстат Рус 87гр, 24шт/кор арт. 215501;613,00;кор;
39;Булочка для гамбургера с кунжутом d100мм Багерстат Рус 52гр, 48шт/кор арт. 1601/25114;669,00;кор;
40;Булочка для гамбургера с кунжутом d114мм Багерстат Рус 75гр, 30шт/кор арт. 3193;573,00;кор;
41;Булочка для гамбургера с кунжутом d125мм Багерстат Рус 82гр, 24шт/кор арт. 1648/3189;500,00;кор;
42;Булочка для гамбургера с кунжутом и глазировкой d125мм Багерстат Рус 82гр, 24шт/кор арт. 221584;587,00;кор;
43;Булочка для гамбургера Солнечная d114мм Багерстат Рус 72гр, 30шт/кор арт. 4261;573,00;кор;
44;Булочка для гамбургера черная d125мм Багерстат Рус 89гр, 24шт/кор арт. 3249;701,00;кор;
45;Булочка для гамбургера Чили с кунжутом d125мм Багерстат Рус 89гр, 24шт/кор арт. 3254;675,00;кор;
46;Булочка для датского хот-дога c кунжутом 170мм Багерстат Рус 60гр, 36шт/кор арт. 3256;588,00;кор;
47;Булочка для датского хот-дога без кунжута 170мм Багерстат Рус 60гр, 36шт/кор арт. 3257;581,00;кор;
48;Булочка для датского хот-дога Бриошь Багерстат Рус 60гр, 36шт/кор;590,00;кор;
49;Булочка для датского хот-дога Картофельная Багерстат Рус 60гр, 36шт/кор;586,00;кор;
50;Булочка для французского хот-дога 190мм с отв. 23мм Багерстат Рус 60гр, 40шт/кор арт. 17;701,00;кор;
51;Булочка для французского хот-дога Багерстат Рус 155гр, 20шт/кор арт.221579 MTI;818,00;кор;
52;Булочка мультизлаковая 40гр, 80шт/кор арт.306;628,00;кор;
53;Булочка с солодом и кориандром 40гр, 80шт/кор;657,00;кор;
54;Булочка Французская 40гр, 80шт/кор арт.301/80;660,00;кор;
55;Булочка Французская с кунжутом 40гр, 80шт/кор арт.302;643,00;кор;
56;Бульон грибной сухой Арикоn Profi 2,2кг, 4шт/кор;942,00;шт;
57;Бульон овощной Dinner Service 2кг ведро, 4шт/кор;755,00;шт;
58;Бульон Том Ям концентрированный EDA.click 500гр, 8шт/кор;248,00;шт;
59;Бульон Фо Бо концентрированный EDA.click 500гр, 8шт/кор;211,00;шт;
60;Васаби порошок Light эко NHAO 1кг, 10шт/кор;288,00;шт;
61;Васаби порошок NHAO Standart белый пакет 2кг, 6шт/кор;857,00;шт;
62;Васаби порошок NHAO Standart зеленый пакет 1кг, 10шт/кор;466,00;шт;
63;Васаби порошок горчичный Fumiko Premium 1кг, 10шт/кор, Китай;688,00;шт;
64;Васаби порошок горчичный Hansey 1кг, 10шт/кор, Россия;347,00;шт;
65;Васаби порошок на основе хрена Tamaki Pro 2кг, 10шт/кор;1 061,00;шт;
66;Васаби порошок на основе хрена Tamaki Pro Light 1кг, 10шт/кор;351,00;шт;
67;Васаби порционный 5гр стик, 600шт/кор, Россия;1 786,00;кор;
68;Вермишель крахмальная Фунчоза в брикетах Kekeshi 500гр, 30шт/кор, Китай;218,00;шт;
69;Вермишель крахмальная Фунчоза резаная Kekeshi 500гр, 30шт/кор, Китай;209,00;шт;
70;Вермишель крахмальная Харусаме Kekeshi 500гр, 30шт/кор, Китай;249,00;шт;
71;Ветчина Дмитровская из свинины Ø100мм Митлэнд ±2кг, ±10кг/кор;288,00;кг;
72;Ветчина Дмитровская из свинины категории В нарезка 20гр зам квадратная Знаменский ±350гр, ±5,6кг/кор;293,00;кг;
73;Ветчина Дмитровская из свинины категории В нарезка лепестки зам. Знаменский ±1,3кг, ±13кг/кор;288,00;кг;
74;Вишня б/к с/м 1 сорт, 10кг/кор;329,00;кг;
75;Вишня б/к с/м 2,5кг, 10кг/кор;369,00;кг;
76;Вишня б/к с/м, 10кг/кор, Турция;312,00;кг;
77;Водоросли Вакаме 500гр, 20шт/кор, Китай;721,00;шт;
78;Водоросли для Онигири в пленке 100л, 32шт/кор, Корея;1 120,00;шт;
79;Водоросли Комбу 1кг, 10шт/кор, Китай;1 516,00;шт;
80;Водоросли Нори Gold TG 240гр, 100л, 40шт/кор;710,00;шт;
81;Водоросли Нори №5 Tamaki 240гр, 100л, 40шт/кор, Корея;738,00;шт;
82;Водоросли Нори SANGO 100л, 96шт/кор;725,00;шт;
83;Водоросли Нори Tidori 100л, 40шт/кор, Корея;800,00;шт;
84;Водоросли Нори Tidori 100л, 84шт/кор, Корея;800,00;шт;
85;Водоросли Нори премиум RISMA 100л, 96шт/кор, Корея;774,00;шт;
86;Гедза с курицей Genso 500гр, 14шт/кор;358,00;шт;
87;Гедза со свининой Genso 500гр, 14шт/кор;282,00;шт;
88;Глутамат натрия в гранулах 454гр, 50шт/кор, Китай;184,00;шт;
89;Говядина вырезка б/к с/м Frigorifico BCF S.A  ±1,5кг, ±22кг/кор;1 670,00;кг;
90;Говядина вырезка зачищенная без цепочки с/м Plate ±1,6кг, ±24кг/кор;1 657,00;кг;
91;Говядина котлетное мясо мелкокусковое кат.Б б/к с/м Me eat too, ±5кг, ±20кг/кор;473,00;кг;
